10.1371/journal.pone.0016663	0000-0002-7249-5706	Claudio Riccomini
10.1371/journal.pone.0016663	0000-0002-9690-7517	Diego Pol
10.1371/journal.pone.0040492	0000-0001-9667-1754	Karin Fehlauer-Ale
10.1371/journal.pone.0040492	0000-0002-6617-2062	Karin Hoch Fehlauer Ale
10.1371/journal.pone.0063616	0000-0002-2711-0336	Bruno Buzatto
10.1371/journal.pone.0068082	0000-0002-4653-3270	Brian Fisher
10.1371/journal.pone.0072753	0000-0003-2136-7541	Richard Butler
10.1371/journal.pone.0001787	0000-0002-4653-3270	Brian Fisher
10.1371/journal.pone.0018163	0000-0003-2478-9301	Timur Simdyanov
10.1371/journal.pone.0031740	0000-0001-7151-5915	Tobias Kånneby
10.1371/journal.pone.0031740	0000-0002-6353-7281	M. Antonio Todaro
10.1371/journal.pone.0056173	0000-0002-2242-4256	Richard Hulbert
10.1371/journal.pone.0022780	0000-0002-1049-0635	Daniel Lahr
10.1371/journal.pone.0004366	0000-0001-5126-5445	B. Holly Smith
10.1371/journal.pone.0038296	0000-0001-6598-6534	Imran Rahman
10.1371/journal.pone.0054275	0000-0002-7210-1033	Miguel Moreno-Azanza
10.1371/journal.pone.0054275	0000-0002-7263-6505	Mark Young
10.1371/journal.pone.0080563	0000-0002-2335-7198	Miguel Carretero
10.1371/journal.pone.0080563	0000-0001-5144-2421	D. James Harris
10.1371/journal.pone.0006924	0000-0002-7431-354X	Francisco Ortega
10.1371/journal.pone.0010875	0000-0001-5839-6798	Nizar Ibrahim
10.1371/journal.pone.0024047	0000-0002-5287-2455	Ross Thompson
10.1371/journal.pone.0080405	0000-0002-6369-6186	Luis Alcalá
10.1371/journal.pone.0083785	0000-0001-9705-2453	William White
10.1371/journal.pone.0086712	0000-0001-8807-7499	Nancy B. Simmons
10.1371/journal.pone.0101592	0000-0002-9347-3178	Chao-Dong ZHU
10.1371/journal.pone.0080974	0000-0002-3191-7482	Rui Castanhinha
10.1371/journal.pone.0080974	0000-0002-6506-9776	Gabriel Martins
10.1371/journal.pone.0080974	0000-0003-1912-150X	Rui Miguel Santos Martins
10.1371/journal.pone.0083623	0000-0003-3239-7068	Tomas Hrbek
10.1371/journal.pone.0027147	0000-0002-6222-8225	Marco Passamonti
10.1371/journal.pone.0027147	0000-0001-5351-1486	Ismar CNR
10.1371/journal.pone.0094056	0000-0002-2119-4663	Andrew Deans
10.1371/journal.pone.0104551	0000-0003-0412-3000	Paul Barrett
10.1371/journal.pone.0013276	0000-0002-2134-4078	Jian Han
10.1371/journal.pone.0014572	0000-0002-9690-7517	Diego Pol
10.1371/journal.pone.0065989	0000-0002-8166-1139	Adam Smith
10.1371/journal.pone.0098082	0000-0003-4416-4560	Arnau Bolet
10.1371/journal.pone.0098082	0000-0002-5410-3529	Josep Maria Robles Gimenez
10.1371/journal.pone.0090043	0000-0001-5940-5983	Martin Chavez Hoffmeister
10.1371/journal.pone.0110957	0000-0003-2743-9008	Zhongying Zhao
10.1371/journal.pone.0026964	0000-0002-9690-7517	Diego Pol
10.1371/journal.pone.0097138	0000-0003-4519-5094	Pedro L Godoy
10.1371/journal.pone.0093105	0000-0002-7249-5706	Claudio Riccomini
10.1371/journal.pone.0093105	0000-0002-9690-7517	Diego Pol
10.1371/journal.pone.0018318	0000-0003-1386-4492	Joana Xavier
10.1371/journal.pone.0029234	0000-0002-8808-6747	Valentin Fischer
10.1371/journal.pone.0079155	0000-0002-7155-4540	Jean-Lou Justine
10.1371/journal.pone.0003303	0000-0002-6377-4770	Hans Larsson
10.1371/journal.pone.0020011	0000-0003-0759-7105	Eduardo Puértolas Pascual
10.1371/journal.pone.0020011	0000-0002-5819-8254	Penélope Cruzado-Caballero
10.1371/journal.pone.0005723	0000-0001-5126-5445	B. Holly Smith
10.1371/journal.pone.0088905	0000-0003-1253-3616	Octávio Mateus
10.1371/journal.pone.0063976	0000-0002-2745-1704	Dennis Lavrov
10.1371/journal.pone.0102887	0000-0003-3697-6526	Rocío Pérez-Portela
10.1371/journal.pone.0057756	0000-0003-2164-7877	Emma Sherratt
10.1371/journal.pone.0007516	0000-0001-6004-7730	Jonathan A. Coddington
10.1371/journal.pone.0111154	0000-0003-2136-7541	Richard Butler
